Competitiion	Date	Result	Team	Rules	Format	Pokepaste	
International Challenge	2022-02-17	Rank 3549, Rating 1657 (28W-17L)	Zacian + Thundurus + Kyogre + Indeedee-F + Porygon2 + Whimsicott	Series 12	BO1 + Closed teamsheet	https://pokepast.es/4679b1ec779a671f
X9 League BDSP Challenge	2021-11-18	Top8 (4-1 #5 in Swiss)	Yveltal + Venusaur + Torkoal + Porygon2 + Grimmsnarl + Landorus-T	Series 11	BO3 + Open teamsheet	https://pokepast.es/a8a8fdb18dc56f77
